id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
15566,98KS,small_airport,"Rexford Airport",37.445899963378906,-100.49199676513672,2775,NA,"United States",US,Kansas,US-KS,KS,Montezuma,0,98KS,,98KS,,,,50,2008-06-13T14:30:04+00:00
18429,K17,small_airport,"Montezuma Municipal Airport",37.589698791503906,-100.46900177001953,2780,NA,"United States",US,Kansas,US-KS,KS,Montezuma,0,K17,,K17,,,,50,2008-06-13T14:30:04+00:00
13806,74KS,small_airport,"Ensminger Airport",37.93339920043945,-95.21720123291016,1070,NA,"United States",US,Kansas,US-KS,KS,Moran,0,74KS,,74KS,,,,50,2008-06-13T14:30:04+00:00
24672,SN97,small_airport,"G+ Ag Airport",37.325892,-101.194639,3056,NA,"United States",US,Kansas,US-KS,KS,Moscow,0,SN97,,SN97,,,"Brollier Airport",50,2022-10-27T17:10:27+00:00
338723,US-2391,small_airport,"Vintage Field",38.090674,-97.202583,1508,NA,"United States",US,Kansas,US-KS,KS,Newton,0,76KS,,76KS,,,,50,2021-01-06T13:18:58+00:00
507528,US-7570,small_airport,"Isaacson Airport",39.700917,-97.721258,1533,NA,"United States",US,Kansas,US-KS,KS,Norway,0,20KS,,20KS,,,,50,2023-03-28T23:05:30+00:00
14180,7KS7,closed,"Evans Airport",38.958302,-100.800003,2950,NA,"United States",US,Kansas,US-KS,KS,Oakley,0,,,,,,7KS7,50,2020-06-12T14:49:40+00:00
14181,7KS8,small_airport,"Shaw Aerial Spraying Airport",39.8306007385,-100.581001282,2700,NA,"United States",US,Kansas,US-KS,KS,Oberlin,0,7KS8,,7KS8,,,,50,2009-12-08T19:34:14+00:00
15528,97KS,small_airport,"Clear View Farm Airport",38.81010055541992,-94.75569915771484,1060,NA,"United States",US,Kansas,US-KS,KS,Olathe,0,97KS,,97KS,,,,50,2008-06-13T14:30:04+00:00
24674,SN99,small_airport,"Laflin Ranch Airport",39.400001525878906,-96.61699676513672,1190,NA,"United States",US,Kansas,US-KS,KS,Olsburg,0,SN99,,SN99,,,,50,2008-06-13T14:30:04+00:00
11917,52K,small_airport,"Charles E Grutzmacher Municipal Airport",39.4989013671875,-96.17169952392578,1183,NA,"United States",US,Kansas,US-KS,KS,Onaga,0,52K,,52K,,,,50,2008-06-13T14:30:04+00:00
7252,0KS0,small_airport,"J V Ranch Airport",38.63330078125,-95.92530059814453,1180,NA,"United States",US,Kansas,US-KS,KS,"Osage City",0,0KS0,,0KS0,,,,50,2008-06-13T14:30:04+00:00
355663,US-6955,small_airport,"Foxtrot Field Ultralight Flightpark",38.511972,-95.021308,894,NA,"United States",US,Kansas,US-KS,KS,Osawatomie,0,6KS6,,6KS6,,,,50,2022-07-16T13:51:29+00:00
20262,KK75,small_airport,"Osborne Municipal Airport",39.42919921875,-98.67949676513672,1565,NA,"United States",US,Kansas,US-KS,KS,Osborne,0,KK75,,K75,,,,50,2008-06-13T14:30:04+00:00
14174,7KS0,small_airport,"Flying T Airport",39.271085,-95.31705,1160,NA,"United States",US,Kansas,US-KS,KS,Oskaloosa,0,7KS0,,7KS0,,,,50,2022-11-02T16:52:45+00:00
7253,0KS2,closed,"Kellie Mann Airfield",38.560001,-95.309097,1045,NA,"United States",US,Kansas,US-KS,KS,Ottawa,0,,,,,,0KS2,50,2019-01-06T14:46:49+00:00
7254,0KS3,closed,"Camp Chippewa Airport",38.5667,-95.366898,1120,NA,"United States",US,Kansas,US-KS,KS,Ottawa,0,,,,,,0KS3,50,2022-06-20T10:40:17+00:00
24619,SN42,small_airport,"Harrod Airport",38.5614013671875,-95.20819854736328,990,NA,"United States",US,Kansas,US-KS,KS,Ottawa,0,SN42,,SN42,,,,50,2008-06-13T14:30:04+00:00
24634,SN57,small_airport,"Witham Airport",38.69860076904297,-95.30030059814453,1110,NA,"United States",US,Kansas,US-KS,KS,Ottawa,0,SN57,,SN57,,,,50,2008-06-13T14:30:04+00:00
14175,7KS2,small_airport,"Cloud Airport",38.85082,-95.467906,1020,NA,"United States",US,Kansas,US-KS,KS,Overbrook,0,7KS2,,7KS2,,,,50,2021-03-03T13:22:56+00:00
13110,68KS,closed,"Cloud 9 Airport",38.5672,-94.782501,1050,NA,"United States",US,Kansas,US-KS,KS,Paola,0,,,,,,68KS,50,2021-05-16T14:05:49+00:00
7885,14KS,small_airport,"G & S Space Port Airport",38.26919937133789,-94.90480041503906,940,NA,"United States",US,Kansas,US-KS,KS,Parker,0,14KS,,14KS,,,,50,2008-06-13T14:30:04+00:00
7258,0KS8,small_airport,"Pearce Field",37.38249969482422,-95.37470245361328,950,NA,"United States",US,Kansas,US-KS,KS,Parsons,0,0KS8,,0KS8,,,,50,2008-06-13T14:30:04+00:00
14991,8KS5,small_airport,"Blue Sky Airport",37.316148,-95.280089,890,NA,"United States",US,Kansas,US-KS,KS,Parsons,0,8KS5,,8KS5,,,,50,2021-10-21T17:34:47+00:00
331077,US-1107,small_airport,"Papas Dream Airport",37.2981431,-95.262931,890,NA,"United States",US,Kansas,US-KS,KS,Parsons,0,39KS,,39KS,,,,50,2019-04-27T01:08:02+00:00
337194,US-1972,small_airport,"Clemens Airport",37.378264,-95.339783,966,NA,"United States",US,Kansas,US-KS,KS,Parsons,0,50KS,,50KS,,,,50,2020-11-11T12:33:53+00:00
345780,US-4554,small_airport,"Diamond H Airport",37.255651,-95.231522,913,NA,"United States",US,Kansas,US-KS,KS,Parsons,0,80KS,,80KS,,,,50,2021-06-25T16:36:36+00:00
35131,80KS,small_airport,"Gilley's Airport",38.157798767100005,-97.19309997559999,1427,NA,"United States",US,Kansas,US-KS,KS,Peabody,0,,,80KS,,,9KS8,50,2010-02-19T15:48:09+00:00
