id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
344381,US-4091,small_airport,"Lovelock Airport",40.19135,-118.44993,,NA,"United States",US,Nevada,US-NV,NV,Lovelock,0,,,,,,,50,2021-05-13T13:47:24+00:00
344382,US-4092,small_airport,"Colado Airport",40.24558,-118.39897,,NA,"United States",US,Nevada,US-NV,NV,Lovelock,0,,,,,,,50,2021-05-13T13:49:13+00:00
506369,NV39,small_airport,"Nevada Airways Airport",40.121106,-118.406528,3904,NA,"United States",US,Nevada,US-NV,NV,Lovelock,0,NV39,,NV39,,,,50,2023-02-02T14:45:23+00:00
23318,NV07,small_airport,"Sunnyside / Kirch Wildlife Management Area Airport",38.4147,-115.037003,5288,NA,"United States",US,Nevada,US-NV,NV,Lund,0,NV07,,NV07,,,,50,2021-06-30T02:37:44+00:00
23322,NV11,small_airport,"Yucca Airstrip",36.934661,-116.00596,3919,NA,"United States",US,Nevada,US-NV,NV,Mercury,0,,UCC,,,https://en.wikipedia.org/wiki/Yucca_Airstrip,NV11,50,2022-10-23T21:53:49+00:00
352541,US-6445,small_airport,"Indian Springs Auxiliary Field Number 1",37.27642,-115.7555,4488,NA,"United States",US,Nevada,US-NV,NV,Mercury,0,,,,,,,50,2022-02-09T17:55:25+00:00
352542,US-6446,small_airport,"Groom Mine Airstrip",37.31707,-115.77118,4790,NA,"United States",US,Nevada,US-NV,NV,Mercury,0,,,,,,,50,2022-02-09T17:58:44+00:00
337514,US-2024,small_airport,"Broken Bottles Airstrip",39.02276,-119.65931,,NA,"United States",US,Nevada,US-NV,NV,Minden,0,,,,,,,50,2020-11-30T17:40:29+00:00
343783,US-3826,small_airport,"Dry Lake Landing Strip",36.46123,-114.88001,1969,NA,"United States",US,Nevada,US-NV,NV,Moapa,0,,,,,,,50,2021-04-29T22:27:25+00:00
23325,NV14,small_airport,"Juniper Airport",41.355499,-114.230003,5400,NA,"United States",US,Nevada,US-NV,NV,Montello,0,NV14,,NV14,,,,50,2021-05-13T13:27:05+00:00
23367,NV67,small_airport,"Pilot Creek Ranches Airport",41.11579895019531,-114.11399841308594,4980,NA,"United States",US,Nevada,US-NV,NV,Montello,0,NV67,,NV67,,,,50,2008-06-13T14:30:04+00:00
344373,US-4083,small_airport,"Gamble Ranch Airport",41.36219,-114.19465,,NA,"United States",US,Nevada,US-NV,NV,Montello,0,,,,,,,50,2021-05-13T13:28:15+00:00
344374,US-4084,small_airport,"Winecup Gamble Ranch Airport",41.37807,-114.17883,,NA,"United States",US,Nevada,US-NV,NV,Montello,0,,,,,,,50,2021-05-13T13:29:08+00:00
344385,US-4095,small_airport,"Montello Airport",41.27497,-114.21128,5052,NA,"United States",US,Nevada,US-NV,NV,Montello,0,,,,,,,50,2021-05-13T13:54:59+00:00
23319,NV08,small_airport,"Petan Ranch Airport",41.737998962402344,-116.21600341796875,5616,NA,"United States",US,Nevada,US-NV,NV,"Mountain City",0,NV08,,NV08,,,,50,2008-06-13T14:30:04+00:00
344391,US-4101,small_airport,"Byington Ranch Airport",41.73971,-115.97895,5922,NA,"United States",US,Nevada,US-NV,NV,"Mountain City",0,,,,,,"KELG, Van Duzer Creek",50,2022-07-28T15:44:05+00:00
348730,US-5492,small_airport,"Nixon Airport",39.83582,-119.34948,3967,NA,"United States",US,Nevada,US-NV,NV,Nixon,0,,,,,,,50,2021-10-13T14:00:09+00:00
23368,NV68,closed,"Pine Grove Airport",41.5635,-117.80961,4250,NA,"United States",US,Nevada,US-NV,NV,Orovada,0,,,,,,NV68,50,2022-10-27T11:56:55+00:00
504507,US-7239,small_airport,"Morris Ag Air Airport",41.55182,-117.83398,226,NA,"United States",US,Nevada,US-NV,NV,Orovada,0,NV88,,NV88,,,,50,2023-03-30T19:45:08+00:00
504508,US-7242,small_airport,"Takamara Road West Airport",41.70402,-117.79893,4327,NA,"United States",US,Nevada,US-NV,NV,Orovada,0,,,,,,,50,2022-10-27T12:15:07+00:00
18402,K10U,small_airport,"Owyhee Airport",41.953604,-116.182155,5374,NA,"United States",US,Nevada,US-NV,NV,Owyhee,0,K10U,,10U,,https://en.wikipedia.org/wiki/Owyhee_Airport,,50,2022-02-11T14:58:34+00:00
21456,L57,closed,"Hidden Hills Airport",36.006401,-115.862999,2808,NA,"United States",US,Nevada,US-NV,NV,Pahrump,0,,,,,,L57,50,2021-10-04T13:52:34+00:00
23312,NV00,small_airport,"Valley View Airport",36.257954,-115.992379,2740,NA,"United States",US,Nevada,US-NV,NV,Pahrump,0,NV00,,NV00,,,,50,2021-10-04T13:49:48+00:00
23358,NV54,small_airport,"Flying S Ranch Ultralightport",36.30699920654297,-115.98899841308594,2800,NA,"United States",US,Nevada,US-NV,NV,Pahrump,0,NV54,,NV54,,,,50,2008-06-13T14:30:04+00:00
23378,NV98,small_airport,"Caas Airport",36.150299072265625,-115.9000015258789,2800,NA,"United States",US,Nevada,US-NV,NV,Pahrump,0,NV98,,NV98,,,,50,2008-06-13T14:30:04+00:00
14077,7CL8,small_airport,"Geyser Ranch Airport",38.664101,-114.632004,5977,NA,"United States",US,Nevada,US-NV,NV,Pioche,0,7NV8,,7NV8,,,7CL8,50,2020-12-17T12:11:38+00:00
337904,US-2141,small_airport,"Mount Wilson Guest Ranch Airport",38.25321,-114.46704,,NA,"United States",US,Nevada,US-NV,NV,Pioche,0,,,,,,,50,2020-12-17T12:15:42+00:00
